
,,,,,Tot Yds &amp; TO,Tot Yds &amp; TO,Tot Yds &amp; TO,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Rk,Year,Tms,PF,Yds,Ply,Y/P,TO,FL,1stPy,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
74,1941,10,16.5,238.5,57.1,4.2,3.1,1.1,0.8,11.6,8.9,20.1,121.8,0.9,2.0,6.1,4.4,37.1,116.7,1.0,3.2,6.4,,,,,,,,
75,1940,10,15.1,245.0,58.1,4.2,2.0,0.0,,11.5,8.8,20.5,125.3,0.9,2.0,6.1,,37.6,119.6,0.9,3.2,11.5,,,,,,,,
76,1939,10,15.4,249.4,57.4,4.3,1.9,0.0,,11.1,8.7,20.3,128.8,0.9,1.9,6.3,,37.0,120.6,0.9,3.3,11.1,,,,,,,,
77,1938,10,13.5,230.4,56.1,4.1,2.0,0.0,,10.8,7.5,18.5,105.8,0.8,2.0,5.7,,37.7,124.6,0.8,3.3,10.8,,,,,,,,
78,1937,10,12.9,219.9,55.2,4.0,1.9,0.0,,10.0,6.3,16.5,93.0,0.8,1.9,5.6,,38.7,126.9,0.6,3.3,10.0,,,,,,,,
79,1936,9,11.9,225.3,56.6,4.0,2.0,0.0,,10.8,5.6,15.3,83.0,0.6,2.0,5.4,,41.2,142.3,0.7,3.5,10.8,,,,,,,,
80,1935,9,10.9,196.2,54.2,3.6,2.2,0.0,,8.8,5.2,15.4,79.7,0.6,2.2,5.2,,38.8,116.4,0.6,3.0,8.8,,,,,,,,
81,1934,11,10.8,200.7,50.4,4.0,1.7,0.0,,,4.2,13.4,59.3,0.5,1.7,4.4,,37.0,141.4,0.8,3.8,,,,,,,,,
82,1933,10,9.7,198.9,50.4,3.9,2.2,0.0,,,5.1,14.3,77.9,0.5,2.2,5.4,,36.1,121.0,0.6,3.3,,,,,,,,,
83,1932,8,8.2,165.1,44.6,3.7,1.0,0.0,,,3.9,10.9,55.2,0.4,1.0,5.1,,33.7,109.9,0.6,3.3,,,,,,,,,
84,1931,10,9.9,,,,,0.0,,,0.0,0.0,0.0,0.5,0.0,,,0.0,0.0,0.8,,,,,,,,,,
85,1930,11,10.6,,,,,0.0,,,0.0,0.0,0.0,0.5,0.0,,,0.0,0.0,0.9,,,,,,,,,,
86,1929,12,9.6,,,,,0.0,,,0.0,0.0,0.0,0.6,0.0,,,0.0,0.0,0.7,,,,,,,,,,
87,1928,10,9.5,,,,,0.0,,,0.0,0.0,0.0,0.6,0.0,,,0.0,0.0,0.7,,,,,,,,,,
88,1927,12,9.1,,,,,0.0,,,0.0,0.0,0.0,0.4,0.0,,,0.0,0.0,0.7,,,,,,,,,,
89,1926,22,7.6,,,,,0.0,,,0.0,0.0,0.0,0.3,0.0,,,0.0,0.0,0.6,,,,,,,,,,
,,,,,Tot Yds &amp; TO,Tot Yds &amp; TO,Tot Yds &amp; TO,,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Rk,Year,Tms,PF,Yds,Ply,Y/P,TO,FL,1stPy,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
90,1925,20,8.9,,,,,0.0,,,0.0,0.0,0.0,0.4,0.0,,,0.0,0.0,0.6,,,,,,,,,,
91,1924,19,10.4,,,,,0.0,,,0.0,0.0,0.0,0.4,0.0,,,0.0,0.0,0.7,,,,,,,,,,
92,1923,20,7.9,,,,,0.0,,,0.0,0.0,0.0,0.3,0.0,,,0.0,0.0,0.5,,,,,,,,,,
93,1922,18,9.1,,,,,0.0,,,0.0,0.0,0.0,0.2,0.0,,,0.0,0.0,0.8,,,,,,,,,,
